,seriesuid,coordX,coordY,coordZ
59270,1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-97.80816678020001,3.8979165531300004,-201.030000108
150277,1.3.6.1.4.1.14519.5.2.1.6279.6001.182192086929819295877506541021,58.99,-24.23,-18.32
432208,1.3.6.1.4.1.14519.5.2.1.6279.6001.397522780537301776672854630421,-50.30721863,159.43973975,-113.41879660000001
423122,1.3.6.1.4.1.14519.5.2.1.6279.6001.339882192295517122002429068974,-106.731000206,-104.46800021600001,751.16333312
344581,1.3.6.1.4.1.14519.5.2.1.6279.6001.296863826932699509516219450076,67.24,-32.59,-107.79
75111,1.3.6.1.4.1.14519.5.2.1.6279.6001.140253591510022414496468423138,-101.55821165399999,69.7154232998,-121.84581233799999
246217,1.3.6.1.4.1.14519.5.2.1.6279.6001.232071262560365924176679652948,55.00299931,148.69083659999998,-382.3213347
292479,1.3.6.1.4.1.14519.5.2.1.6279.6001.259543921154154401875872845498,-23.476702423200003,87.0007457534,-46.4840259117
147683,1.3.6.1.4.1.14519.5.2.1.6279.6001.179162671133894061547290922949,-50.32,88.02,-677.09
468235,1.3.6.1.4.1.14519.5.2.1.6279.6001.561458563853929400124470098603,59.05516044,-25.03510602,-196.73366435
393762,1.3.6.1.4.1.14519.5.2.1.6279.6001.323541312620128092852212458228,-34.80437524,232.7707002,-78.88016979
463939,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,-59.94,-7.71,-239.43
249234,1.3.6.1.4.1.14519.5.2.1.6279.6001.235217371152464582553341729176,-104.17,17.17,-200.52
288179,1.3.6.1.4.1.14519.5.2.1.6279.6001.257840703452266097926250569223,-63.33,44.82,-148.75
66326,1.3.6.1.4.1.14519.5.2.1.6279.6001.137773550852881583165286615668,85.22,-206.43,167.19
100704,1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650,-81.88,112.44,-169.35
222488,1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,99.3146639166,66.0098225079,-90.5268699307
